"","Species","Site","Plot","Neighbours01","No_viable_seeds_grouped","log_seeds","total_no_nbh","total_nbh","plot_fecundity_no_nbh","mean_plot_fec_no_nbh","plot_fecundity_nbh","mean_plot_fec_nbh"
"536","TRCY","7","C","0",14,2.63905732961526,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"537","LARO","7","C","0",5,1.6094379124341,9,5,2.11474252688113,2.25,2,2.5
"538","HYGL","7","C","1",4,1.38629436111989,31,4,15.4919333848297,15.5,4,4
"539","PEAI","7","C","0",75,4.31748811353631,214,51,37.4332442331342,42.8,14.3645734095145,17
"540","TROR","7","C","0",3,1.09861228866811,19,2,2.99379516552391,3.16666666666667,2,2
"541","HYGL","7","C","0",15,2.70805020110221,31,4,15.4919333848297,15.5,4,4
"542","VERO","7","C","1",9,2.19722457733622,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"543","PEAI","7","C","1",26,3.25809653802148,214,51,37.4332442331342,42.8,14.3645734095145,17
"544","LARO","7","C","0",4,1.38629436111989,9,5,2.11474252688113,2.25,2,2.5
"545","LARO","7","C","1",1,0,9,5,2.11474252688113,2.25,2,2.5
"546","TRCY","7","C","1",10,2.30258509299405,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"547","PEAI","7","C","0",40,3.68887945411394,214,51,37.4332442331342,42.8,14.3645734095145,17
"548","POLE","7","C","0",36,3.58351893845611,104,0,49.4772675074119,52,NA,NA
"549","VERO","7","C","1",6,1.79175946922805,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"550","TRCY","7","C","0",19,2.94443897916644,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"551","TROR","7","C","0",4,1.38629436111989,19,2,2.99379516552391,3.16666666666667,2,2
"552","LARO","7","C","0",0,0,9,5,2.11474252688113,2.25,2,2.5
"553","LARO","7","C","1",4,1.38629436111989,9,5,2.11474252688113,2.25,2,2.5
"554","VERO","7","C","1",8,2.07944154167984,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"555","PEAI","7","C","0",14,2.63905732961526,214,51,37.4332442331342,42.8,14.3645734095145,17
"556","ARCA","7","C","0",5,1.6094379124341,304,0,28.2895131934207,101.333333333333,NA,NA
"557","VERO","7","C","0",8,2.07944154167984,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"558","HYGL","7","C","0",16,2.77258872223978,31,4,15.4919333848297,15.5,4,4
"559","LARO","8","A","0",6,1.79175946922805,17,48,4.04124002062219,5.66666666666667,48,48
"560","TRCY","8","A","0",2,0.693147180559945,2,0,2,2,NA,NA
"561","LARO","8","A","0",0,0,17,48,4.04124002062219,5.66666666666667,48,48
"562","VERO","8","A","0",14,2.63905732961526,37,0,17.9443584449264,18.5,NA,NA
"563","ARCA","8","A","0",129,4.85981240436167,192,0,90.1498752079003,96,NA,NA
"564","PEAI","8","A","0",426,6.05443934626937,497,519,173.913771737606,248.5,519,519
"565","LARO","8","A","0",11,2.39789527279837,17,48,4.04124002062219,5.66666666666667,48,48
"566","PEAI","8","A","0",71,4.26267987704132,497,519,173.913771737606,248.5,519,519
"567","VERO","8","A","0",23,3.13549421592915,37,0,17.9443584449264,18.5,NA,NA
"568","ARCA","8","A","0",63,4.14313472639153,192,0,90.1498752079003,96,NA,NA
"569","TROR","8","A","0",0,0,0,0,0,0,NA,NA
"570","PEAI","8","A","1",519,6.25190388316589,497,519,173.913771737606,248.5,519,519
"571","LARO","8","A","1",48,3.87120101090789,17,48,4.04124002062219,5.66666666666667,48,48
"572","LARO","8","B","0",2,0.693147180559945,5,7,1.81712059283214,1.66666666666667,7,7
"573","LARO","8","B","0",3,1.09861228866811,5,7,1.81712059283214,1.66666666666667,7,7
"574","LARO","8","B","1",7,1.94591014905531,5,7,1.81712059283214,1.66666666666667,7,7
"575","TRCY","8","B","1",7,1.94591014905531,0,22,NA,NA,10.2469507659596,11
"576","PEAI","8","B","0",182,5.2040066870768,228,444,91.498633869583,114,444,444
"577","PEAI","8","B","1",444,6.09582456243222,228,444,91.498633869583,114,444,444
"578","TROR","8","B","0",7,1.94591014905531,42,7,8.75903827977578,14,7,7
"579","TROR","8","B","0",32,3.46573590279973,42,7,8.75903827977578,14,7,7
"580","ARCA","8","B","0",0,0,2,0,1.41421356237309,1,0,0
"581","ARCA","8","B","1",0,0,2,0,1.41421356237309,1,0,0
"582","ARCA","8","B","0",2,0.693147180559945,2,0,1.41421356237309,1,0,0
"583","TROR","8","B","1",7,1.94591014905531,42,7,8.75903827977578,14,7,7
"584","LARO","8","B","0",0,0,5,7,1.81712059283214,1.66666666666667,7,7
"585","PEAI","8","B","0",46,3.8286413964891,228,444,91.498633869583,114,444,444
"586","TROR","8","B","0",3,1.09861228866811,42,7,8.75903827977578,14,7,7
"587","TRCY","8","B","1",15,2.70805020110221,0,22,NA,NA,10.2469507659596,11
"588","ARCA","8","C","1",106,4.66343909411207,0,106,NA,NA,106,106
"589","TRCY","8","C","0",4,1.38629436111989,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
"590","TRCY","8","C","1",19,2.94443897916644,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
"591","LARO","8","C","0",1,0,6,50,2.23606797749979,3,7.95811441579279,16.6666666666667
"592","LARO","8","C","1",6,1.79175946922805,6,50,2.23606797749979,3,7.95811441579279,16.6666666666667
"593","HYGL","8","C","0",30,3.40119738166216,30,26,30,30,26,26
"594","PEAI","8","C","1",64,4.15888308335967,396,332,127.921175426787,132,130.965644349959,166
"595","LARO","8","C","1",42,3.73766961828337,6,50,2.23606797749979,3,7.95811441579279,16.6666666666667
"596","VERO","8","C","0",17,2.83321334405622,17,108,17,17,108,108
"597","PEAI","8","C","0",98,4.58496747867057,396,332,127.921175426787,132,130.965644349959,166
"598","TROR","8","C","0",58,4.06044301054642,58,0,58,58,NA,NA
"599","PEAI","8","C","0",178,5.18178355029209,396,332,127.921175426787,132,130.965644349959,166
"600","PEAI","8","C","1",268,5.59098698051086,396,332,127.921175426787,132,130.965644349959,166
"601","LARO","8","C","1",2,0.693147180559945,6,50,2.23606797749979,3,7.95811441579279,16.6666666666667
"602","VERO","8","C","1",108,4.68213122712422,17,108,17,17,108,108
"603","PEAI","8","C","0",120,4.78749174278205,396,332,127.921175426787,132,130.965644349959,166
"604","HYGL","8","C","1",26,3.25809653802148,30,26,30,30,26,26
"605","TRCY","8","C","0",29,3.36729582998647,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
"606","LARO","8","C","0",5,1.6094379124341,6,50,2.23606797749979,3,7.95811441579279,16.6666666666667
"607","TRCY","8","C","1",6,1.79175946922805,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
"608","TRCY","8","C","1",79,4.36944785246702,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
"609","TRCY","8","C","0",9,2.19722457733622,42,104,10.1445666439695,14,20.8054596121931,34.6666666666667
