Site,Plot,Row,Column,Species,C_E_or_T,Rep,Number_seeds_sown,February_germination,Number_germinated,Notes_germination
2,C,3,6,VERO,E,2,15,0,9,NA
2,C,3,7,TROR,T,1,15,0,8,NA
2,C,3,8,ARCA,C,2,15,0,4,NA
2,C,3,9,VERO,T,1,15,0,7,NA
2,C,4,1,LARO,E,2,15,0,7,NA
2,C,4,2,HYGL,E,3,15,0,0,NA
2,C,4,3,VERO,C,2,15,0,10,"Pod broke off, four seeds"
2,C,4,4,ARCA,C,1,15,0,4,NA
2,C,4,5,VERO,T,2,15,0,8,NA
2,C,4,6,TRCY,C,1,15,0,8,NA
2,C,4,7,LARO,C,1,15,0,5,NA
2,C,4,8,TRCY,C,3,15,0,10,Plus 2g
2,C,4,9,TROR,C,1,15,0,6,NA
2,C,5,1,TROR,E,1,15,0,11,NA
2,C,5,2,HYGL,C,1,15,0,4,NA
2,C,5,8,TROR,C,3,15,0,4,NA
2,C,5,9,PEAI,T,2,15,0,0,Swap
2,C,6,1,TRCY,T,2,15,0,8,NA
2,C,6,2,HYGL,E,3,15,0,4,Swap
2,C,6,8,POLE,E,3,15,0,1,NA
2,C,6,9,TROR,C,2,15,0,2,NA
2,C,7,1,LARO,E,3,15,0,4,NA
2,C,7,2,PLDE,E,3,15,0,10,NA
2,C,7,8,HYGL,T,1,15,0,0,NA
2,C,7,9,ARCA,E,2,15,0,5,Plus 1g
2,C,8,1,PEAI,E,2,15,0,7,Plus 2g
2,C,8,2,LARO,C,2,15,0,9,Swap
2,C,8,3,PEAI,E,1,15,0,2,NA
2,C,8,4,PLDE,C,2,15,0,13,Swap
2,C,8,6,ARCA,T,2,15,0,1,NA
2,C,8,7,TRCY,E,3,15,0,1,NA
2,C,8,8,TRCY,C,2,15,0,8,NA
2,C,8,9,POLE,E,1,15,0,1,NA
2,C,9,1,POLE,C,4,15,0,5,Accidental POLE plot; swap; renamed for POLE (used to be PLDE E2); not thinned
2,C,9,2,ARCA,C,3,15,0,4,NA
2,C,9,3,POLE,T,1,15,0,0,NA
2,C,9,4,TROR,T,2,15,0,4,NA
2,C,9,6,TROR,E,3,15,0,4,NA
2,C,9,7,PEAI,C,3,15,0,7,Plus 1g
2,C,9,8,PLDE,E,1,15,0,5,NA
2,C,9,9,PLDE,C,3,15,0,9,NA
2,C,10,1,POLE,T,2,15,0,0,Swap
2,C,10,2,PEAI,C,1,15,0,5,Plus 1g
2,C,10,3,POLE,C,3,15,0,1,Swap
2,C,10,4,PEAI,E,3,15,0,4,Plus 1g
2,C,10,6,LARO,T,1,15,0,5,Swap
2,C,10,7,HYGL,C,2,15,0,1,NA
2,C,10,8,PEAI,T,1,15,0,0,NA
2,C,10,9,HYGL,C,3,15,0,0,NA
3,A,1,1,LARO,T,2,15,0,0,Swap
3,A,1,2,LARO,C,1,15,0,0,NA
3,A,1,3,ARCA,C,1,15,2,1,NA
3,A,1,4,HYGL,C,1,15,0,0,NA
3,A,1,5,VERO,E,2,15,0,4,NA
3,A,1,6,PLDE,T,1,15,0,4,Plus 4g
3,A,1,7,HYGL,T,2,15,0,4,NA
3,A,1,8,POLE,T,2,15,0,0,NA
3,A,1,9,PEAI,E,1,15,0,2,NA
3,A,2,1,POLE,E,3,15,0,0,NA
3,A,2,2,ARCA,C,2,15,0,0,NA
3,A,2,3,TRCY,C,2,15,0,1,NA
3,A,2,4,ARCA,T,1,15,0,0,NA
3,A,2,5,LARO,E,3,15,0,5,NA
3,A,2,6,PLDE,T,2,15,0,0,Swap
3,A,2,7,PEAI,E,3,15,0,5,NA
3,A,2,8,HYGL,C,3,15,0,0,NA
3,A,2,9,TRCY,C,1,15,0,4,NA
3,A,3,1,POLE,E,2,15,0,0,NA
3,A,3,2,HYGL,E,1,15,0,0,NA
3,A,3,3,PEAI,C,2,15,0,0,NA
3,A,3,4,TRCY,C,3,15,0,0,NA
3,A,3,5,TRCY,E,1,15,0,8,NA
3,A,3,6,TROR,C,3,15,0,1,Late germination
3,A,3,7,PLDE,C,3,15,0,9,Swap
3,A,3,8,POLE,E,1,15,0,0,NA
3,A,3,9,HYGL,E,2,15,0,0,NA
3,A,4,1,VERO,E,3,15,1,5,Swap
3,A,4,2,ARCA,E,1,25,5,2,NA
